Country,Operator,Network Code,Display Text
Iceland,Iceland Telecom (Landssiminn),274-01,IS SIMINN
Iceland,OG Fjarskipti (Vodafone),"274-02, 274-03",Vodafone
Iceland,IMC Island (Viking Wireless),274-04,Viking
India / Andhra Pradesh,J T Mobiles,404-49,INA AirTel
India / Andhra Pradesh,IDEA Cellular Ltd,404-07,IDEA
India / Andhra Pradesh,Hutchison,404-13,HUTCH
India / Calcutta,Bharti Cellular Ltd,404-31,INA AIRTEL
India / Calcutta,Hutchison,404-30,HUTCH
India / Chennai,Bharti Cellular,404-40,INA AirTel
India / Chennai,Airtel Celllar,404-41,INA RPG
India / Gujarat,Fascel (Hutch-Gujarat),404-05,Fascel Ltd
India / Gujarat,Bharti Cellular,404-98,AirTel
India / Gujarat,IDEA Cellular Ltd,404-24,IDEA
India / Haryana,Bharti Cellular,404-96,AirTel
India / Haryana,Escotel,404-12,ESCOTEL
India / Himachal Pradesh,Bharti Cellular (Airtel),404-03,AirTel
India / Karnataka,J T Mobiles,404-45,INA Airtel
India / Karnataka,Spice Telecom,404-44,SPICE
India / Kerala,BPL Cellular,404-46,BPL MOBILE
India / Kerala,Bharti Cellular,404-95,AirTel
India / Kerala,Escotel,404-19,ESCOTEL
India / Madhya Pradesh,Bharti Cellular,404-93,AirTel
India / Madhya Pradesh,Reliance Telecom,404-67,Reliance
India / Maharashtra,BPL Mobile Cellular,404-27,BPL MOBILE
India / Maharashtra,Bharti Cellular,404-90,AirTel
India / Maharashtra,IDEA Cellular Ltd,404-22,IDEA
India / Mumbai,MTNL Mumbai,404-69,IN-DOLPHIN
India / Mumbai,Orange (Huchison Max),404-20,INA MaxTouch
India / Mumbai,BPL Mobile Communication,404-21,BPL MOBILE
India / Mumbai,Bharti Cellular,404-92,AirTel
India / New Delhi,Bharti Cellular (Airtel),404-10,INA-AIRTL
India / New Delhi,Essar Cellphone,404-11,INA Hutch
India / New Delhi,MTNL Dolphin Dehli,404-68,IN-DOLPHIN
India / Punjab,Bharti Cellular (Airtel),404-02,AirTel
India / Punjab,Spice Telecom,404-14,INA SPICE
India / Rajasthan,Oasis / Hexacom,404-70,Hexacom
India / Tamil Nadu,Aircel Tamil Nadu,404-42,INA AIRCEL
India / Tamil Nadu,BPL Cellular,404-43,BPL MOBILE
India / Tamil Nadu,Bharti Cellular,404-94,AirTel
India / Uttar Pradesh (West),Bharti Cellular,404-97,AirTel
India / Uttar Pradesh (West),Escotel,404-56,ESCOTEL
Indonesia,Indosat,510-01,IND INDOSAT
Indonesia,Excelcom,510-11,IND proXL
